station,lines,latitude,longitude,am_entries,am_exits,pm_entries,pm_exits,am_flow,pm_flow
SUTPHIN BLVD,EJZ,40.700488,-73.807933,71053,32810,64367,64474,in,out
JAMAICA CENTER,EJZ,40.702131,-73.80111,131871,47689,96468,108557,in,out
ORCHARD BEACH,6,40.852417,-73.828082,0,1,2,223,out,out
SOUTH FERRY,1R,40.703082,-74.012983,19388,11823,42630,37510,in,in
RECTOR ST,1,40.70784,-74.013691,13411,16836,30773,13999,out,in
WALL ST,23,40.706864,-74.009056,22609,105031,118433,40680,out,in
PARK PLACE,23ACE,40.71433,-74.008563,2861,12312,16676,6535,out,in
CHAMBERS ST,123,40.715436,-74.009335,23753,59503,86593,51332,out,in
FRANKLIN ST,1,40.719323,-74.006953,3049,4046,22843,8845,out,in
CANAL ST,1,40.722819,-74.006267,2109,7916,27690,15717,out,in
HOUSTON ST,1,40.728202,-74.005344,5207,13089,60081,23901,out,in
CHRISTOPHER ST,1,40.733405,-74.002898,15867,14886,34666,36235,in,out
14 ST,123FLM,40.738007,-73.998381,35096,33480,89079,50134,in,in
18 ST,1,40.741096,-73.997877,10438,12392,34091,16385,out,in
23 ST,1,40.744071,-73.995624,9160,13334,58500,38236,out,in
28 ST,1,40.747224,-73.99336,7326,12112,57956,25280,out,in
34 ST-PENN STA,123,40.750329,-73.991096,81959,57849,106987,147356,in,out
34 ST-PENN STA,123ACE,40.750264,-73.992984,128006,44905,142499,146382,in,out
42 ST-TIMES SQ,1237ACENQRS,40.755905,-73.986504,102187,191761,335799,246862,out,in
50 ST,1,40.761675,-73.983908,25884,77321,104743,62290,out,in
59 ST-COLUMBUS,1ABCD,40.76811,-73.981891,18004,30467,57774,38050,out,in
66 ST-LINCOLN,1,40.773424,-73.982234,14894,22300,87364,69173,out,in
72 ST,123,40.778575,-73.981912,42979,37871,134805,142332,in,out
79 ST,1,40.783872,-73.979938,17154,7791,59012,30119,in,in
86 ST,1,40.788844,-73.97599,22238,18863,62543,67377,in,out
96 ST,123,40.79388,-73.972363,52958,42513,117421,128093,in,out
103 ST,1,40.799354,-73.968329,17915,4673,38359,21777,in,in
110 ST-CATHEDRL,1,40.804032,-73.966742,15491,7111,42887,21552,in,in
116 ST-COLUMBIA,1,40.80819,-73.964124,7948,11244,57527,15505,out,in
125 ST,1,40.815596,-73.958395,19248,12934,26454,25288,in,in
137 ST-CITY COL,1,40.821994,-73.953674,22299,10014,37376,37355,in,in
145 ST,1,40.826426,-73.950412,29027,9163,29064,26135,in,in
157 ST,1,40.833879,-73.944726,20417,8363,28752,26123,in,in
168 ST-BROADWAY,1AC,40.840778,-73.940091,15681,38513,47010,29697,out,in
181 ST,1,40.849495,-73.933632,30584,16991,35444,41717,in,out
191 ST,1,40.855176,-73.929384,25242,10671,18569,25518,in,out
DYCKMAN ST,1,40.860523,-73.925575,20300,5342,19499,12930,in,in
207 ST,1,40.864653,-73.918719,17476,4653,18776,10149,in,in
215 ST,1,40.869359,-73.915329,4327,1425,6190,2969,in,in
MARBLE HILL-225,1,40.874551,-73.909879,16393,1693,16323,5647,in,in
231 ST,1,40.878867,-73.904858,26903,1765,25275,5689,in,in
238 ST,1,40.884821,-73.900759,10789,112,8363,329,in,in
242 ST,1,40.889185,-73.898549,24098,4374,16153,12458,in,in
BOWLING GREEN,45,40.704782,-74.014099,45560,97536,136630,73325,out,in
WALL ST,45,40.707466,-74.011867,16704,44663,92021,24556,out,in
BROOKLYN BRIDGE,456JZ,40.713159,-74.003917,26615,66616,96563,44194,out,in
SPRING ST,6,40.722397,-73.997211,14070,28519,49054,45509,out,in
BLEECKER ST,6DF,40.725665,-73.995645,23888,11314,49356,20007,in,in
ASTOR PLACE,6,40.730056,-73.991042,17954,13102,52091,60943,in,out
14 ST-UNION SQ,456LNQR,40.734836,-73.990688,35426,29394,117839,120416,in,out
23 ST,6,40.740088,-73.986429,18132,26994,92710,58180,out,in
28 ST,6,40.743095,-73.984251,16840,33685,86470,57027,out,in
33 ST,6,40.746119,-73.981826,21676,33122,116823,63833,out,in
42 ST-GRD CNTRL,4567S,40.751849,-73.976945,190689,317040,586539,361776,out,in
51 ST,6,40.757108,-73.97187,22142,73122,94128,50074,out,in
59 ST,456NQR,40.762796,-73.967686,52526,150143,211821,129582,out,in
68ST-HUNTER COL,6,40.768143,-73.964016,19842,39885,121937,44727,out,in
77 ST,6,40.773636,-73.959875,36979,46719,122398,98436,out,in
86 ST,456,40.779485,-73.955541,140824,116408,214728,200076,in,in
96 ST,6,40.785822,-73.95097,37639,6598,88184,14247,in,in
103 ST,6,40.790582,-73.947473,8706,12768,25498,34850,out,out
110 ST,6,40.795066,-73.944297,40063,19651,41679,33693,in,in
116 ST,6,40.798574,-73.941593,20514,9276,45462,26002,in,in
125 ST,456,40.804406,-73.937452,39623,36670,93302,77072,in,in
138 ST-GR CONC,45,40.813208,-73.929877,8977,7465,10236,8620,in,in
149 ST-GR CONC,245,40.818429,-73.926927,25967,18094,39661,24300,in,in
167 ST,4,40.835535,-73.92138,30714,12453,25073,33350,in,out
170 ST,4,40.840048,-73.917775,27999,10327,24661,22383,in,in
MT EDEN AVE,4,40.844406,-73.914621,17478,7116,15031,13713,in,in
176 ST,4,40.848635,-73.912497,19071,5124,16055,10799,in,in
BURNSIDE AVE,4,40.85339,-73.907733,30108,8776,28821,20598,in,in
183 ST,4,40.858389,-73.903828,20655,4317,15153,11097,in,in
FORDHAM ROAD,4,40.862941,-73.901199,30830,3995,35320,8555,in,in
KINGSBRIDGE RD,4,40.867899,-73.897326,19638,6616,22457,17997,in,in
BEDFORD PARK BL,4,40.873399,-73.890084,17219,7843,14181,14071,in,in
MOSHOLU PARKWAY,4,40.87963,-73.884666,16054,3505,20305,7078,in,in
WOODLAWN ROAD,4,40.885973,-73.878851,23341,2910,19251,8352,in,in
110 ST-CPN,23,40.79911,-73.951807,26484,14582,30009,27772,in,in
116 ST,23,40.802098,-73.949625,18520,4741,36089,17598,in,in
125 ST,23,40.808076,-73.945906,16162,8139,57011,17663,in,in
