C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/18/2015,20:00:00,REGULAR,0000001842,0000004081                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/12/2015,00:00:00,REGULAR,0000000032,0000000115                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/12/2015,04:00:00,REGULAR,0000000032,0000000116                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/12/2015,08:00:00,REGULAR,0000000033,0000000118                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/12/2015,12:00:00,REGULAR,0000000033,0000000128                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/12/2015,16:00:00,REGULAR,0000000033,0000000142                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/12/2015,20:00:00,REGULAR,0000000034,0000000157                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/13/2015,00:00:00,REGULAR,0000000037,0000000163                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/13/2015,04:00:00,REGULAR,0000000041,0000000176                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/13/2015,08:00:00,REGULAR,0000000044,0000000187                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/13/2015,12:00:00,REGULAR,0000000055,0000000209                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/13/2015,16:00:00,REGULAR,0000000169,0000000835                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/13/2015,20:00:00,REGULAR,0000000245,0000001333                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/14/2015,00:00:00,REGULAR,0000000283,0000001440                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/14/2015,04:00:00,REGULAR,0000000293,0000001505                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/14/2015,08:00:00,REGULAR,0000000314,0000001725                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/14/2015,12:00:00,REGULAR,0000000349,0000002497                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/14/2015,12:52:19,REGULAR,0000000360,0000002656                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/14/2015,12:54:10,REGULAR,0000000360,0000002661                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/14/2015,16:00:00,REGULAR,0000000426,0000003248                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/14/2015,20:00:00,REGULAR,0000000532,0000003910                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/15/2015,00:00:00,REGULAR,0000000562,0000004044                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/15/2015,04:00:00,REGULAR,0000000571,0000004072                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/15/2015,08:00:00,REGULAR,0000000593,0000004315                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/15/2015,12:00:00,REGULAR,0000000635,0000005064                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/15/2015,16:00:00,REGULAR,0000000722,0000005750                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/15/2015,20:00:00,REGULAR,0000000883,0000006452                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/16/2015,00:00:00,REGULAR,0000000931,0000006636                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/16/2015,04:00:00,REGULAR,0000000946,0000006661                                        
R550,R072,00-03-00,34 ST-HUDSON YD,7,IRT,09/16/2015,08:00:00,REGULAR,0000000960,0000006854                                        
